OrderID,Date,ProductID,ProductName,Category,Price,Quantity,Total,Street Address,City,State,Zipcode
1001,01-10-2023,125,Product 125,Electronics,564.54,1,564.54,748 Molina Villages Suite 155,East Darlene,Missouri,36260
1002,02-10-2023,129,Product 129,Movies,672.92,5,3364.6,79321 Hayes Trail Suite 352,New Wanda,Wyoming,51158
1003,03-10-2023,123,Product 123,Movies,875.9,1,875.9,6891 Christina Rue,Port Donaldhaven,Nebraska,61517
1004,04-10-2023,171,Product 171,Toys,867.93,3,2603.79,299 Martin Run,Lindsaytown,Missouri,10413
1005,05-10-2023,180,Product 180,Movies,770.86,2,1541.72,8558 Jon Pine Apt. 163,Franklinberg,Wisconsin,48765
1006,06-10-2023,138,Product 138,Movies,515.77,5,2578.85,28447 Estrada Glen,Mooreport,Virginia,27479
1007,07-10-2023,183,Product 183,Appliances,998.1,2,1996.2,7169 Berg Dale Suite 671,Blackfort,New Mexico,41483
1008,08-10-2023,190,Product 190,Appliances,529.4,1,529.4,412 Clarke Roads Suite 469,Devinborough,Washington,84002
1009,09-10-2023,201,Product 201,Electronics,895.2,3,2685.6,87625 Christina Park Suite 098,Brandonmouth,Alaska,81652
1010,10-10-2023,120,Product 120,Movies,487.63,3,1462.89,7250 Roberts Summit Apt. 572,North Nathan,Kentucky,26705
1011,11-10-2023,146,Product 146,Books,120.93,2,241.86,406 Rodriguez Road Apt. 178,East Joseph,New Mexico,91281
1012,12-10-2023,169,Product 169,Appliances,327.4,2,654.8,547 Brown Lights,South Michael,South Dakota,72901
1013,13-10-2023,205,Product 205,Toys,376.15,2,752.3,21431 Sutton Points,East Thomas,Minnesota,46507
1014,14-10-2023,152,Product 152,Movies,69.54,2,139.08,96255 Brady Camp,Christopherland,Idaho,85248
1015,15-10-2023,184,Product 184,Appliances,325.45,2,650.9,287 Darin Mill Apt. 599,Lake Josephville,West Virginia,49025
1016,16-10-2023,121,Product 121,Electronics,659.77,3,1979.31,667 Ibarra Extensions Apt. 769,East Debbie,Pennsylvania,67700
1017,17-10-2023,112,Product 112,Appliances,291.98,5,1459.9,27731 Courtney Fort Apt. 395,Russellshire,South Dakota,77092
1018,18-10-2023,162,Product 162,Electronics,685.72,5,3428.6,9723 Linda Island Suite 591,South Natashaland,Massachusetts,80190
1019,19-10-2023,185,Product 185,Toys,914.45,4,3657.8,251 Michael Station,North Anthony,South Dakota,48421
1020,20-10-2023,109,Product 109,Books,616.73,5,3083.65,9864 Stephanie Plains Suite 868,Cherylmouth,North Carolina,68208
1021,21-10-2023,184,Product 184,Books,526.76,5,2633.8,59494 Brian Valley Suite 318,New Caitlinville,Illinois,4392
1022,22-10-2023,154,Product 154,Movies,167.51,4,670.04,79004 Lyons Views Suite 828,South Steven,Florida,15278
1023,23-10-2023,112,Product 112,Electronics,933.12,5,4665.6,266 Brandon Dale,Lake Curtis,Wisconsin,51414
1024,24-10-2023,175,Product 175,Movies,992.29,5,4961.45,006 Lynn Isle,West Lisamouth,Texas,29359
1025,25-10-2023,106,Product 106,Electronics,261.27,2,522.54,8062 Best Ferry,West Douglas,Hawaii,77555
1026,26-10-2023,183,Product 183,Appliances,142.27,2,284.54,28221 Jones Village,Huntland,Georgia,71724
1027,27-10-2023,120,Product 120,Appliances,591.15,3,1773.45,9357 Austin Villages Apt. 461,Douglasport,Nevada,33660
1028,28-10-2023,185,Product 185,Movies,741.54,5,3707.7,362 Erika Knoll,New Terrymouth,North Dakota,82060
1029,29-10-2023,122,Product 122,Books,209.89,3,629.67,516 Jenkins Mission,North Lindseyport,Utah,41345
1030,30-10-2023,150,Product 150,Books,179.02,5,895.1,388 Joann Squares,North Johnshire,Alaska,41109
1031,31-10-2023,101,Product 101,Movies,164.55,1,164.55,318 David Plains Suite 659,Kiaraland,Oklahoma,99938
1032,2023-10-32,129,Product 129,Toys,69.77,4,279.08,2339 Kimberly Union,Brandonview,Ohio,12339
1033,2023-10-33,204,Product 204,Toys,737.93,2,1475.86,16545 Benjamin Throughway Apt. 985,Cookfurt,New Mexico,30254
1034,2023-10-34,101,Product 101,Appliances,726.09,5,3630.45,04434 Matthew Landing Apt. 826,Hornton,Utah,37585
1035,2023-10-35,128,Product 128,Books,485.89,4,1943.56,745 Phillip Ridges,Wongstad,Alaska,17000
1036,2023-10-36,142,Product 142,Movies,459.09,1,459.09,951 Tran Isle,Lake Nathaniel,Maryland,33860
1037,2023-10-37,167,Product 167,Books,609.56,4,2438.24,9561 Young Islands,Jerryville,New Jersey,51040
1038,2023-10-38,152,Product 152,Books,177.45,4,709.8,03039 Samuel Island,Houstonbury,West Virginia,28681
1039,2023-10-39,121,Product 121,Electronics,126.47,2,252.94,282 Santos Ramp,Port Krista,Georgia,43399
1040,2023-10-40,130,Product 130,Appliances,742.94,4,2971.76,8118 Darlene Summit,Lake Nicholas,Texas,35155
1041,2023-10-41,132,Product 132,Movies,503.8,2,1007.6,15505 Jason Loaf Suite 924,New Jennifer,Ohio,55530
1042,2023-10-42,185,Product 185,Toys,372.56,3,1117.68,281 Oconnor Plains Apt. 622,Port Tonya,Minnesota,86215
1043,2023-10-43,173,Product 173,Books,866.74,5,4333.7,3771 Tyler Mill Apt. 321,Port Tamaraview,South Dakota,84691
1044,2023-10-44,115,Product 115,Electronics,625.76,1,625.76,856 Christina Light Apt. 883,South Shane,Minnesota,64137
1045,2023-10-45,210,Product 210,Toys,515.72,1,515.72,8133 Ellison Trail Apt. 279,Gilbertville,North Dakota,53452
1046,2023-10-46,208,Product 208,Books,547.67,1,547.67,6403 Valerie Village Suite 382,Port Daisy,Oregon,80301
1047,2023-10-47,144,Product 144,Electronics,328.6,3,985.8,205 Jeremy Landing,Gonzalesport,Missouri,6957
1048,2023-10-48,124,Product 124,Appliances,427.55,1,427.55,57791 Hall Oval Suite 129,Michaelshire,North Carolina,46915
1049,2023-10-49,171,Product 171,Electronics,814.51,1,814.51,20122 Suzanne Harbors Apt. 731,West Bradley,New Mexico,57695
1050,2023-10-50,186,Product 186,Books,794.84,4,3179.36,2217 Ingram Mountain Suite 555,Weaverport,Illinois,76130
1051,2023-10-51,134,Product 134,Movies,962.57,3,2887.71,7897 Brown Corners Suite 552,Port Kristin,Ohio,64611
1052,2023-10-52,208,Product 208,Toys,646.88,4,2587.52,656 Stein Islands Apt. 444,Melissaside,Nebraska,42867
1053,2023-10-53,123,Product 123,Toys,281.92,1,281.92,406 Alicia Mall,New Wendy,Arkansas,4648
1054,2023-10-54,108,Product 108,Toys,342,1,342,869 Wilcox Roads Suite 549,North Allenport,Maine,28325
1055,2023-10-55,124,Product 124,Movies,984.04,1,984.04,5259 Randy Passage,Tanyabury,New Hampshire,13598
1056,2023-10-56,103,Product 103,Toys,422.53,4,1690.12,65229 Chapman Spurs Suite 142,Mollychester,Michigan,27230
1057,2023-10-57,207,Product 207,Books,714.73,4,2858.92,22561 Reeves Ferry,South Kevin,Pennsylvania,91406
1058,2023-10-58,163,Product 163,Movies,805.51,4,3222.04,530 Jared Ports Apt. 219,Port Brookemouth,Ohio,9257
1059,2023-10-59,115,Product 115,Movies,57.76,4,231.04,7103 Nicholas Wells,North Miranda,North Carolina,65652
1060,2023-10-60,208,Product 208,Toys,497.97,5,2489.85,55399 Ali Point Apt. 238,Mikaylachester,Colorado,25600
1061,2023-10-61,203,Product 203,Movies,935.49,2,1870.98,357 Guerrero Fords,Youngstad,New Jersey,63829
1062,2023-10-62,131,Product 131,Toys,963.59,4,3854.36,046 Christopher Turnpike,East John,Montana,8412
1063,2023-10-63,200,Product 200,Appliances,998.74,1,998.74,92970 Baker Tunnel Suite 987,South Gary,Idaho,81589
1064,2023-10-64,163,Product 163,Movies,155.86,1,155.86,133 Andersen Meadows Apt. 512,West Justintown,Georgia,21210
1065,2023-10-65,200,Product 200,Movies,239.78,2,479.56,1791 Webb Orchard Suite 065,Matthewhaven,Vermont,56052
1066,2023-10-66,138,Product 138,Electronics,777.04,3,2331.12,107 Jeff Burg,Ochoaberg,Colorado,34501
1067,2023-10-67,194,Product 194,Books,179.2,4,716.8,5883 Ariel Viaduct Apt. 541,North Ashley,Kentucky,46570
1068,2023-10-68,159,Product 159,Movies,309.92,1,309.92,1930 Mark Prairie,East Jessicamouth,Alaska,76137
1069,2023-10-69,106,Product 106,Appliances,67.56,5,337.8,6629 Ryan Forges Apt. 500,West Roy,North Dakota,39313
1070,2023-10-70,166,Product 166,Books,457.53,3,1372.59,22467 Foster Lodge Suite 270,New Jessica,Vermont,55915
1071,2023-10-71,156,Product 156,Movies,690.73,5,3453.65,124 Lee Corner,Harrisside,Alabama,56027
1072,2023-10-72,206,Product 206,Toys,352.51,1,352.51,08278 Ross Shoal Suite 442,East Melanie,Oklahoma,63513
1073,2023-10-73,128,Product 128,Toys,813.37,4,3253.48,5018 Coffey Green,New Thomasmouth,Washington,30908
1074,2023-10-74,137,Product 137,Appliances,438.62,2,877.24,9210 Joseph Haven Apt. 746,Cynthiaville,Alabama,27538
1075,2023-10-75,188,Product 188,Electronics,956.74,1,956.74,402 Robert Groves Apt. 930,Rubioberg,Rhode Island,30769
1076,2023-10-76,193,Product 193,Books,385.98,5,1929.9,7841 Hull Island,South Katiehaven,Rhode Island,28381
1077,2023-10-77,152,Product 152,Toys,246.17,1,246.17,5624 George Mountain,Jeffreyborough,North Carolina,10867
1078,2023-10-78,150,Product 150,Toys,940.85,5,4704.25,2333 Ritter Plains Suite 442,Ramirezfurt,Hawaii,75991
1079,2023-10-79,202,Product 202,Appliances,664.75,4,2659,581 Kelley Lane,North Thomas,Arizona,66491
1080,2023-10-80,144,Product 144,Electronics,976.95,3,2930.85,21290 Ochoa Rest Apt. 594,Christopherfort,Florida,58450
1081,2023-10-81,113,Product 113,Appliances,821.09,2,1642.18,285 Martinez Station,Sampsonside,Colorado,46581
1082,2023-10-82,125,Product 125,Appliances,615.87,4,2463.48,9313 Butler Causeway Apt. 503,North Emily,Hawaii,51012
1083,2023-10-83,198,Product 198,Toys,128.14,5,640.7,38299 Erika Locks Suite 221,Rhodesborough,Kentucky,4667
1084,2023-10-84,203,Product 203,Electronics,878.45,3,2635.35,62602 Ricky Parkways,Jameschester,Oregon,10344
1085,2023-10-85,169,Product 169,Books,931.42,4,3725.68,29721 Jennifer Drive Suite 764,West Robert,Idaho,43285
1086,2023-10-86,205,Product 205,Toys,71.43,4,285.72,1511 Martin Loaf,New Gregory,Arizona,63388
